Data_value,95%_HDI_lower,95%_HDI_higher,p_value
0.277,0.2184362689779503,0.35905812308046725,0.64155
0.723,0.5599047432094221,0.8590081626127481,0.43695
0.373,0.29431052488286147,0.48153067152077583,0.6235
0.627,0.47750441334850696,0.7478724331019392,0.41685
0.28,0.21595538173030732,0.3642313690997992,0.59585
0.72,0.5609115336768029,0.8571797929084886,0.448
0.1323,0.09466102987756955,0.16717265742757886,0.4536
0.1127,0.07978787436449096,0.14134062658432614,0.45385
0.755,0.6015281872135614,0.9037947934756049,0.5202
0.245,0.17976947658342826,0.31181557214402755,0.5051
0.755,0.5988845704956856,0.9036495177026982,0.49635
0.51775,0.40260365410226784,0.6232438051290803,0.45465
0.02725,-0.0009265977378121086,0.052625434225730704,0.461
0.455,0.36229882197302554,0.5586190781894996,0.55565
0.1323,0.09651896648705723,0.16858657548932887,0.5056
0.1127,0.08145636921124828,0.1435946449554103,0.5044
0.755,0.5982401454800801,0.900650600367857,0.49465
0.05978,0.03284691188925111,0.0878129269314051,0.5066
0.03822,0.01009733712178642,0.06416093157115832,0.47165
0.9,0.7205596277545679,1.0788586870389718,0.4898
0.002,-0.015146358018760882,0.027243070258194287,0.6331
0.092512,0.06561221752326762,0.11972536456961358,0.5105
0.064288,0.03691036802251173,0.09134259557274374,0.48175
0.84,0.6660017825307528,0.9999762973304848,0.48345
0.0032,-0.014187070534382267,0.030278109107703916,0.6366
0.23128,0.16830370393042876,0.2911343362258024,0.4961
0.16072,0.11481270741527594,0.20159270939330776,0.48595
0.6,0.4685599446664257,0.7258023289376421,0.4821
0.008,-0.012473464626777089,0.0362324937027185,0.60355
0.11564,0.08364533370721422,0.14774479645541574,0.49735
0.08036,0.051582362507110034,0.10625487630389926,0.49545
0.8,0.6345855401728464,0.9542559172818086,0.47815
0.004,-0.014731240083077348,0.03218029599521325,0.6635
0.245,0.18105620527310237,0.31260395840543875,0.49625
0.75,0.5951730563502912,0.9012238307318073,0.4837
0.005,-0.014180361102946336,0.03182030251431419,0.6327
0.245,0.17851731501344573,0.3100218396430482,0.49945
0.75,0.5941359045807899,0.9005530485054064,0.4835
0.005,-0.013980326129906812,0.03315468519597378,0.6409
0.15435,0.11237751918124936,0.19728601660997988,0.4989
0.09065,0.06239854518552137,0.11776598898508511,0.49385
0.75,0.5965110180253871,0.898750749414375,0.47835
0.005,-0.013658051646094365,0.03390323862310127,0.63665
0.098,0.07041018906333105,0.12496989297995997,0.48685
0.9,0.7201150452724123,1.073383302955801,0.4739
0.002,-0.014608693830221883,0.030821694479196922,0.69835
0.196,0.14045289209744216,0.24654206802040218,0.489
0.8,0.6312483846415846,0.9533052989895066,0.4781
0.004,-0.014878160923516204,0.03192824325480552,0.65915
0.10388,0.07490500214631933,0.1320727980578798,0.49235
0.09212,0.06469524591378963,0.11941157347203293,0.49595
0.8,0.6388178647571068,0.9584377949261084,0.47515
0.004,-0.014123728227903627,0.03203612746475549,0.65475
0.10388,0.07501060865927273,0.13255021746688087,0.4968
0.09212,0.06555266973528721,0.12078048672284483,0.5013
0.8,0.6328237488028201,0.9516119755205034,0.47755
0.004,-0.012397383758034645,0.034850274523393295,0.67235
0.10388,0.0753233900316137,0.13229333263866622,0.49685
0.09212,0.06454717543325517,0.11942379507453085,0.4988
0.8,0.6368189140892203,0.9599162521224747,0.4789
0.004,-0.01307163313474671,0.03437268974016823,0.6694
0.18,0.133178427209099,0.2289100177767585,0.4954
0.72,0.5726389290080077,0.8612443916647785,0.48775
0.05,0.022177839314060088,0.07738490786439225,0.4999
0.05,0.02877045118507195,0.0782347943584335,0.60775
0.15,0.10883830819665904,0.19063611922208992,0.5123
0.02,-0.006456062836540474,0.046737063713475406,0.5262
0.12,0.08808720586242731,0.15342586910617204,0.506
0.67,0.522582854742524,0.7989868618740308,0.4806
0.04,0.01616103691605212,0.0686367702072494,0.55595
0.5,0.38089344326943125,0.6211174406282475,0.5047
0.5,0.38282282754382035,0.6228896501133857,0.4955
0.15,0.10852186090820387,0.19163145996777867,0.49565
0.02,-0.006469404142879982,0.04693431085560255,0.5207
0.12,0.0869463761432622,0.1533054081597873,0.49665
0.67,0.5283318076821998,0.8046394039395433,0.493
0.04,0.013708311422469328,0.0685163971727205,0.5232
0.38,0.293493436693819,0.4787439487139523,0.54115
0.39,0.2990935552092732,0.4898573191338837,0.52705
0.22,0.16243674664830335,0.27882877053609806,0.5199
0.33,0.24687165238502348,0.4094580754473966,0.4685
0.25,0.18321423499934736,0.3122820576219089,0.47495
0.22,0.1604956021534819,0.27540420630159385,0.4738
0.21,0.15137039860079918,0.26216178231121223,0.45975
0.45,0.3545177717767448,0.557895134880094,0.5468
0.19,0.1425554816063289,0.2430050034174695,0.52875
0.17,0.12479980485291403,0.21636066588628558,0.5175
0.18,0.1325592796727603,0.22922540603733446,0.52365
0.17,0.12425633177414216,0.21605672417342134,0.51045
0.18,0.13237018291753494,0.22947819353342463,0.50655
0.16,0.11735412742894084,0.20300948022058182,0.50915
0.49,0.3812752525781203,0.5985409091382101,0.48005
